title,book_desc,writer,illustrator,publisher,publication_date,genre,isbn,setisbn,fnshYn,book_image

무적호위 7권,"제혼금침에 당해 오직 명령에만 충실한 꼭두각시 운비.
그의 기억이 돌아왔다.
원수는 바로 친부…!
용서는 없다.
천하최강이든 뭐든 부숴버리고 말 테다!!!",사마달,사마달,미스터블루,20210511,미상,9791109374871,000-0-00-000000-0,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000259174	2024-01-30 17:30:44.444088	2024-01-30 17:30:44.444088

무적호위 6권,"제혼금침에 당해 오직 명령에만 충실한 꼭두각시 운비.
그의 기억이 돌아왔다.
원수는 바로 친부…!
용서는 없다.
천하최강이든 뭐든 부숴버리고 말 테다!!!",사마달,사마달,미스터블루,20210510,미상,9791109374864,000-0-00-000000-0,N,https://www.kmas.or.kr:443/common/file/atchmnflDownload.ajax?fileImageId=3000259163	2024-01-30 17:30:44.486600	2024-01-30 17:30:44.486600